Title,Genre,Description,Text_cleaning,Predicted_Genre
83, Le complexe de la salamandre (2015) ," A glass frame, some wax wings, a tale sculpted in dust on the glass, a mask of bees wings. The artist, Patrick Neu lives alone in a remote island village to the north of the Vosges, far from all of the central focal points of the world of art. He creates slowly and carefully with the patience inherited from the primitive Flemish artists, which whom he dialogues explicitly in works that border the ephemeral and tend towards a rare perfection. One day, the director of the Tokyo Palace in Paris pays him a visit: after following his work for fifteen years, he wants to commission him with his first individual exhibition. He accepts but will not change his method in any way. In the background, the old truth of the salamander, above all, an artist should be able to hide and keep his mystery.",glass frame wax wings tale sculpted dust glass mask bees wings artist patrick neu lives alone remote island village north vosges far central focal points world art creates slowly carefully patience inherited primitive flemish artists dialogues explicitly works border ephemeral tend towards rare perfection one day director tokyo palace paris pays visit following work fifteen years wants commission first individual exhibition accepts change method way background old truth salamander artist able hide keep mystery, drama 
84, One Window Will Suffice (2016) ," Narges and her mother live in an apartment in Tehran. Despite her mother being very traditional, Narges wants a modern life. This issue ignites many conflicts and problems between them, which ultimately put them at a distance. Narges, who is suffering from depression and has obsessive tendencies, also hides her relationship with her boyfriend from her mother. Their emotional turmoil, combined with feelings of guilt and depression, leads her into a dangerous situation.",narges mother live apartment tehran despite mother traditional narges wants modern life issue ignites many conflicts problems ultimately put distance narges suffering depression obsessive tendencies also hides relationship boyfriend mother emotional turmoil combined feelings guilt depression leads dangerous situation, drama 
85," ""Belligerent Drunks and Paranoid Stoners"" (2011) "," Four friends chasing a similar dream living in one house in L.A. They eventually take a nose dive into regularity, and realize just how tough it is to ""make it in L.A."" With drugs and alcohol fueling their child-like mentality, the boys get in over their heads with each new adventure.",four friends chasing similar dream living one house eventually take nose dive regularity realize tough make drugs alcohol fueling child like mentality boys get heads new adventure, drama 
86, Number 13 (2006) ," In order to authenticate some historical papers in a cathedral town, Oxbridge academic Anderson stays at a local hotel in room 12, initially disregarding the lack of a number 13 as provincial superstition. During the night, noise conspires to keep him awake and the historian is astonished to come face to face with door number 13. Continuing his work, a history of a reformation era witchcraft scandal emerges. The nocturnal disturbances escalate, leading Anderson with no choice but to open the door to room number 13...",order authenticate historical papers cathedral town oxbridge academic anderson stays local hotel room initially disregarding lack number provincial superstition night noise conspires keep awake historian astonished come face face door number continuing work history reformation era witchcraft scandal emerges nocturnal disturbances escalate leading anderson choice open door room number, drama 
87, The Infiltrators (????) ," A tight team of three young ""recreational trespassers"" - law student Abby, dropout daredevil Jay and wheelchair bound tech whiz Milton - hire themselves out to people who want to get into places they're not supposed to be in.",tight team three young recreational trespassers law student abby dropout daredevil jay wheelchair bound tech whiz milton hire people want get places theyre supposed, drama 
88, Una película de gente que mira películas (2012) ," Pablo has seen the Wall 37 times. Rudolf is a Rambo fan. Marco, instead, enjoys Bergman's cinema. Miguel sings a tango from ""El Polaco"" Goyeneche, while Garrido plays out scenes from The Godfather. Manu is a film director. Norita holds the record number of rented movies in the Video Store, and all of the above are also part of it in one way or another. In Cinema, more than in other artistic activity, the connection between the art and the public is passive but decisive. Una película de gente que mira películas takes place in a video store in Buenos Aires, where a group of clientes shoots a film, so they can quit being spectators and became filmmakers. In the voices of this seven characters, the film explores the different possibilities of the seventh art in order to reflect in visual terms and stands as a symbolic construction of reality. Gathered to see what they have shot, the film returned them to the place of spectators, thus creating a point of view through which the film observes them.",pablo seen wall times rudolf rambo fan marco instead enjoys bergmans cinema miguel sings tango polaco goyeneche garrido plays scenes godfather manu film director norita holds record number rented movies video store also part one way another cinema artistic activity connection art public passive decisive una pel cula gente que mira pel culas takes place video store buenos aires group clientes shoots film quit spectators became filmmakers voices seven characters film explores different possibilities seventh art order reflect visual terms stands symbolic construction reality gathered see shot film returned place spectators thus creating point view film observes, drama 
89, Antarctica in Decline (2017) ," In this VR experience, users can interact with penguins, explore topographically accurate landscapes and experience the collapse of the Larsen C ice shelf. Other elements include a replica of the shack made from the remains of the Endurance after it was shipwrecked 100 years ago. In this structure users will find maps, data and photographs of the area and a walker-talkie with a mysterious message from one of the first Antarctic explorers, Sir Ernest Shackleton (his actual voice). If the landscape is explored extensively, users will come across a video report of the area presented by the scientists of the British Antarctic Survey.",experience users interact penguins explore topographically accurate landscapes experience collapse larsen ice shelf elements include replica shack made remains endurance shipwrecked years ago structure users find maps data photographs area walker talkie mysterious message one first antarctic explorers sir ernest shackleton actual voice landscape explored extensively users come across video report area presented scientists british antarctic survey, drama 
90, The Spirit (1987) ," When Denny Colt, detective for the Central City Police Department, survives an assassination attempt by criminals, he is still believed by the public to be dead. He decides to use to his advantage, since being ""dead"", he isn't subject to the rules that bind regular cops. To this end, he equips an abandoned tomb in a graveyard into a residence and headquarters and prepares for a new career. With that, he becomes the Spirit, a mysterious crime fighter whose only costume is a blue business suit, fedora hat and a little eye mask. His first major case pits him against P'Gell, a femme fatal who has criminal designs on the city.",denny colt detective central city police department survives assassination attempt criminals still believed public dead decides use advantage since dead isnt subject rules bind regular cops end equips abandoned tomb graveyard residence headquarters prepares new career becomes spirit mysterious crime fighter whose costume blue business suit fedora hat little eye mask first major case pits pgell femme fatal criminal designs city, drama 
91, Cupid's Requiem (2012) ," Will Powell rouses himself awake from a deep sleep. He lights a cigarette then slowly meanders into the next room where his ex-girlfriend, Andrea Wilson, is duct taped to a chair. He sits across from her as though this is a completely sane manner in which to explore their recently broken relationship, and he and begins to tell her how much he misses her and wants her back. What follows is a journey into their failed relationship. It is a funny, poignant, visceral retrospective. The verbal war the two wage ultimately reveals two equally flawed and damaged young people whose relationship sadly served only to enhance and magnify their respective imperfections.",powell rouses awake deep sleep lights cigarette slowly meanders next room girlfriend andrea wilson duct taped chair sits across though completely sane manner explore recently broken relationship begins tell much misses wants back follows journey failed relationship funny poignant visceral retrospective verbal war two wage ultimately reveals two equally flawed damaged young people whose relationship sadly served enhance magnify respective imperfections, drama 
92, Guney Afrika'nin Vahsi Dogasi (2016) ," A Turkish film crew discovers the diverse wildlife of South Africa for the Turkish TV audience. From the great white sharks of the Seal Island to the meerkats of the Kalahari, symbolic or little know wildlife aspects of South Africa are brought to screen. Focusing on the social structures, behaviors, reproduction and hunting strategies of the animals, Guney Afrika'nin Vahsi Dogasi covered most of South Africa to discover and film birds, mammals, fish and spectacular landscapes.",turkish film crew discovers diverse wildlife south africa turkish audience great white sharks seal island meerkats kalahari symbolic little know wildlife aspects south africa brought screen focusing social structures behaviors reproduction hunting strategies animals guney afrikanin vahsi dogasi covered south africa discover film birds mammals fish spectacular landscapes, drama 
93, The Bride Was Seven (2007) ," In this film, correspondent Lisa Ling journeys to Ethiopia for a revealing exploration of child marriage. The consequences of early marriage are die: it puts young girls at risk through the hazards to early childbirth, exposes them to the violence abusive husbands and prevents them from attending school and getting an education. But Ethiopia is working hard to change this harmful tradition. Lisa finds poignant personal stories of courage and hope, as she meets brave girls and young women who are taking the extraordinary step of seeking alternatives to the tradition of early marriage. By learning to stand up for their rights girls are taking their future into their own hands.",film correspondent lisa ling journeys ethiopia revealing exploration child marriage consequences early marriage die puts young girls risk hazards early childbirth exposes violence abusive husbands prevents attending school getting education ethiopia working hard change harmful tradition lisa finds poignant personal stories courage hope meets brave girls young women taking extraordinary step seeking alternatives tradition early marriage learning stand rights girls taking future hands, drama 
94, OLAKH-my identity (2015) ," Olakh (My Identity) is a heart-wrenching story of a wrestler Sanjay. Despite being abnormal by birth, a normal kid`s upbringing is given to him. His maternal uncle trains him in wrestling and makes him physically strong and tough. Even then, Sanjay keeps avoiding his good friend Vandana as she falls in love with him. His late father, a police constable wanted his child to be a police officer. Despite Sanjay`s maternal uncle`s objection, his mother convinces him to apply for the job and sends him for the selection process. During tough physical tests, Sanjay proves his mental fitness. But his abnormality is revealed at the time of medical test. The selection officers throw him out. His colleagues and fellow villagers make fun of him. Media maligns his name big time. Sanjay comes to Mumbai with his mother and fights a battle in the court against the system, with the help of Vandana. Listening to Sanjay`s plight, his mother, his maternal uncle and many others, the court acknowledges his rights, especially his identity and dignity.",olakh identity heart wrenching story wrestler sanjay despite abnormal birth normal kid upbringing given maternal uncle trains wrestling makes physically strong tough even sanjay keeps avoiding good friend vandana falls love late father police constable wanted child police officer despite sanjay maternal uncle objection mother convinces apply job sends selection process tough physical tests sanjay proves mental fitness abnormality revealed time medical test selection officers throw colleagues fellow villagers make fun media maligns name big time sanjay comes mumbai mother fights battle court system help vandana listening sanjay plight mother maternal uncle many others court acknowledges rights especially identity dignity, drama 
95," ""My Brother's Keeper: A Drama Series"" (2006) "," The socially conscious indie drama series returns for Season 3 to explore the social, political and interpersonal issues of twenty-somethings living in communities in Los Angeles, New York City, Atlanta and Miami.",socially conscious indie drama series returns season explore social political interpersonal issues twenty somethings living communities los angeles new york city atlanta miami, drama 
96," ""Showcase"" (2015) "," Jason Thompson presents a selection of some of the best of the regions bands, musicians, festivals and music videos. Showcase is the place to see who is worth watching in the North East music scene, and each show features a mixture of location reports, interviews and specially selected music videos. Jason Thompson presents a selection of some of the best of the regions bands, musicians, festivals and music videos. Showcase is the place to see who is worth watching in the North East music scene, and each show features a mixture of location reports, interviews and specially selected music videos. Jason previously presented and produced Introducing on Radio Northumberland, a show that ran to well over 50 editions, each featuring a musician or band with local connections, and based around in-depth interviews, selected tracks and exclusive, specially recorded studio and live sessions. Jason's other radio show was Widescreen on Basic FM, which, in collaboration with The Tyneside Cinema, reviewed and featured the best of the current cinema features, and included interviews with Mike Figgis, Thomas Dolby and Joshua Oppenheimer. Jason is passionate about live music, and has performed in a number of local bands as a singer, guitarist and drummer. he also promotes live music events, including Live At The Argyle Rooms, his own house-gigs which have featured performances by Beccy Owen, Matt Stalker and Fables, Bridie Jackson and The Arbour, 3 at Sea, Sharks Took The Rest and many other renowned local bands. Jason is Director of Sound Ideas Media, an independent digital media production company, specialising in documentary and promotional film, photography and web site projects.",jason thompson presents selection best regions bands musicians festivals music videos showcase place see worth watching north east music scene show features mixture location reports interviews specially selected music videos jason thompson presents selection best regions bands musicians festivals music videos showcase place see worth watching north east music scene show features mixture location reports interviews specially selected music videos jason previously presented produced introducing radio northumberland show ran well editions featuring musician band local connections based around depth interviews selected tracks exclusive specially recorded studio live sessions jasons radio show widescreen basic collaboration tyneside cinema reviewed featured best current cinema features included interviews mike figgis thomas dolby joshua oppenheimer jason passionate live music performed number local bands singer guitarist drummer also promotes live music events including live argyle rooms house gigs featured performances beccy owen matt stalker fables bridie jackson arbour sea sharks took rest many renowned local bands jason director sound ideas media independent digital media production company specialising documentary promotional film photography web site projects, drama 
97," Cinderelas, Lobos e Um Príncipe Encantado (2009) "," Around 900 thousand people are trafficked a year for international borders only for sexual exploitation. However, despite all the dangers, young Brazilian women to enter the world of sex tourism, believe that they will change their lives and their dream of finding a Charming Prince. A minority find a great love and get married. The film goes from the Brazilian Northeast to Berlin seeking to understand the sexual as well racial imaginary and power of young southern Cinderellas and northern wolves.",around thousand people trafficked year international borders sexual exploitation however despite dangers young brazilian women enter world sex tourism believe change lives dream finding charming prince minority find great love get married film goes brazilian northeast berlin seeking understand sexual well racial imaginary power young southern cinderellas northern wolves, drama 
98, It's All in Your Mind (1938) ," Wilbur Crane is a meek, mild-mannered bookkeeper who no longer finds his wife, Martha, attractive and sets out for a little fling among the fast crowd while looking for love in all the wrong places. Dorothy, a gold-digger first class, and her business-manager friend, Danny, oblige him. Through camera angles,""art"" photos, some semi-nudity, special camera-effects (by Ray Mercer), and strange interludes in Wilbur's mind, and off-screen voices, long-time poverty-row b-western director Bernard B. Ray embarks on the exploitation trail.",wilbur crane meek mild mannered bookkeeper longer finds wife martha attractive sets little fling among fast crowd looking love wrong places dorothy gold digger first class business manager friend danny oblige camera angles art photos semi nudity special camera effects ray mercer strange interludes wilburs mind screen voices long time poverty row western director bernard ray embarks exploitation trail, drama 
99, The Ouija Experiment 2: Theatre of Death (2015) ," A fun filled weekend turns deadly when a group of unsuspecting theatre goers are trapped inside, after a ravenous spirit is resurrected and released from a Ouija board. They must confront their most terrifying fears and destroy the spirit before it finds and kills them first.",fun filled weekend turns deadly group unsuspecting theatre goers trapped inside ravenous spirit resurrected released ouija board must confront terrifying fears destroy spirit finds kills first, drama 
100, Wohin und zurück - Teil 3: Welcome in Vienna (1986) ," In the conclusion of Axel Corti's trilogy (following God Does Not Believe In Us Anymore and Santa Fe) Freddy, a Viennese Jew who emigrated to New York after Hitler's invasion, and Adler, a left-wing intellectual originally from Berlin, return to Austria in 1944 as soldiers in the U.S. Army. Freddy falls in love with the daughter of a Nazi, and Adler attempts to go over to the Communist Zone. But with the advent of the Cold War and continuing anti-semitism, the idealism of both characters is shattered as they find themselves surrounded by cynicism, opportunism, and universal self-deception. This acclaimed, brilliant work is one of the great films of all time.",conclusion axel cortis trilogy following god believe anymore santa freddy viennese jew emigrated new york hitlers invasion adler left wing intellectual originally berlin return austria soldiers army freddy falls love daughter nazi adler attempts communist zone advent cold war continuing anti semitism idealism characters shattered find surrounded cynicism opportunism universal self deception acclaimed brilliant work one great films time, drama 
